plantID,site,species,site-species,growthform,phenophase,year,estimate,doy1,doy2,doy-diff
NEON.PLA.D01.BART.04794,BART,ACPE,BART-ACPE,Deciduous broadleaf,first color,2016,245,242,245,3
NEON.PLA.D01.BART.04794,BART,ACPE,BART-ACPE,Deciduous broadleaf,leaves shed end,2016,298,291,298,7
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,201,195,201,6
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,129,128,131,3
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,131,131,136,5
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,208,205,208,3
NEON.PLA.D01.BART.06071,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,296,290,296,6
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,238,235,238,3
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,298,291,298,7
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06072,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06073,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06074,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,203,201,203,2
NEON.PLA.D01.BART.06074,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,298,291,298,7
NEON.PLA.D01.BART.06074,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06074,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,198,194,198,4
NEON.PLA.D01.BART.06074,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,296,290,296,6
NEON.PLA.D01.BART.06075,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,214,210,214,4
NEON.PLA.D01.BART.06075,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06075,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,198,194,198,4
NEON.PLA.D01.BART.06075,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06076,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,231,228,231,3
NEON.PLA.D01.BART.06076,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06076,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
